content,rating,created_at,thank_count,label,ID,Unnamed: 4,Unnamed: 5,TicketID,Priority,idex,sentiment
"Giao hàng ko có ống hút, h tổng đài cskh báo số lượng có hạn , mà khi đặt thông tin thì vẫn sáng ko bị ẩn ; 
Khi nhận ko thấy quà tặng",1.0,,0.0,promo,,,,,,,n
"Bình đẹp lắm nha mn,chưa dùng nên ko đánh giá đc độ giữ nhiệt nhưng bình cầm rất ổn, chắc tay. Mình có gói TikiNow nên đặt buổi tối là 8h30 sáng hôm sau nhận hàng luôn, chưa bao giờ mua hàng online mà trải nghiệm tuyệt vời vậy luôn!",5.0,,1.0,deliver,,,,,,,p
"Bình rất nhẹ, giữ nhiệt tốt, lớp ngoài nhám cầm rất chắc tay, phần nắp có nút bật mở rất thuận tiện, đế bình có dán cao su chống ngã. Đóng gói cẩn thận. Rất hài lòng về sản phẩm này",5.0,,1.0,quality,,,,,,,p
"Giao hàng nhanh, đóng gói cẩn thận nên không bị móp hộp. sản phẩm chính hãng nhìn tổng quan thì ok. chỉ có 1 điểm chưa thích trên sản phẩm là bình thiết kế phần xoay của nắp trong thân bình nên nhìn ko đẹp mắt. Giá cả hợp lý, nắp ly kín, dùng 1 chạm cũng khá ổn, phù hợp đối tượng các bạn làm văn phòng, ly giữ lạnh tốt., nhưng vẫn bin mồ hôi xung quanh miệng ly.",5.0,,14.0,quality,,,,,,,p
"Bình xịn :))). nắp có chốt khóa k sợ đổ nước. k bị rỉ nước.có lỗ thông hơi. đế su k bị thấm nước. giữ nhiệt lạnh chắc tầm 6 tiếng. Vì mình hay uống nước nên bình k đủ nước cho mình uống ^^ nên k biết nó giữ nhiệt đc mấy tiếng, mình bỏ nước mát nhưng sau 4 tiếng vẫn còn mát.",5.0,,22.0,quality,,,,,,,p
"Đã nhận được hàng, bình đẹp nha mọi người, hàng giao nhanh cực kì. Chưa sài nên không biết giữ lạnh được bao lâu",5.0,,1.0,deliver,,,,,,,p
"Bình đẹp, màu xanh nhám mình khá thích. Có chế độ khóa cho nắp k bị bung ra ở phần nắp ly, phiên bản này khá okla. Điểm trừ xíu là thiết kế miệng nhỏ nên cắm ổng hút k được :v nhưng đánh giá chung mình vẫn ưng mẫu thiết kế này.",5.0,,0.0,quality,,,,,,,p
"thực sự thất vọng về kiện hàng này, hàng giao tới thì kiện hàng rách nát, và có dấu hiệu bị xé ra từ trước, vỏ bên trong cũng bị xé rách phần đáy như hình, còn về bình thì khi mở khóa nắp ko bật ra, dùng tay cố gắng mở cũng ko mở được. quá thất vọng, hy vọng tiki đổi hàng
cập nhật tình hình sau 2 ngày: phải nói là tiki quá uy tín và bộ phận cskh quá tốt ạ. Ngay ngày hôm sau khi mình báo hàng lỗi thì tiki đến lấy liền, và thực hiện đổi hàng cho mình rất nhanh chỉ trong 2 ngày mình đã nhận được hàng, lúc mình nhận dc là tối khuya chủ nhật, tính ra tiki đổi sản phẩm cả trong ngày nghỉ luôn. Đúng là khi gặp hàng lỗi thì mới biết bộ phận cskh làm việc nhiệt tình và nhanh chóng như v luôn đó. Tin tưởng và sẽ ủng hộ tiki nhiều hơn nữa, mua dc giá sale chỉ 235k thôi. Ly giữ nhiệt này thấy ko bị ri nước so với những loại khác cùng hãng, nên mua nha mn.",5.0,,6.0,other,,,,,,,p
Mẫu mã đẹp chất lượng như nào để thời gian sử dụng mới rõ ☺️,5.0,,0.0,other,,,,,,,p
"bình đẹp, cầm chắc tay, nắp chắc chắn, giao hàng rất nhanh, vừa đặt trưa hôm qua mà trưa nay đã giao. Còn về thời gian giữ nhiệt mình chưa dùng nên chưa biết là có thể giữ đá được bao lâu",5.0,,0.0,deliver,,,,,,,p
chọiiii ôi...bình rất sịn sò luôn.nắp rất chắc..có cả khóa lại sẽ không mở nắp ra được..không dễ tràn.tiki là nhất rồi..mẫu này mới..cả *** và *** đều chưa bán..mình mua 2 bình..kèm mã giảm giá chỉ 423k..đặt hàng lúc 0h kém...mà 14h chiều đã nhận❤❤,5.0,,13.0,deliver,,,,,,,p
"Sản phẩm quá tệ. Đã từng mua vào sản phẩm LocknLock nhưng không nghĩ lần này lại tệ hại quá vậy.
1. Nút khoá thiết kế chỉ để trang trí. Ở chế độ lock hay unlock vẫn mở được nắp bình. Và kết quả là balo đầy ngập tràn cafe 😡
2. Nắp bình rất dễ sướt mặt dù không va chạm.
3. Thử so sánh với bình giữ nhiệt LocknLock mua được một năm nhưng bình giữ nhiệt nắp nhựa cực tốt, rất khó trầy sướt, nút khoá  ổn định không dễ gì bung. Đổi lại Ly giữ nhiệt này rất thất vọng. Nghi vấn liệu đây có phải hành chính hãng của LocknLock hay không???",1.0,,9.0,quality,,,,,,,n
"Mua bình giữ nhiệt của 2 nhà sx khác nhau nhưng locknlock là tốt nhất màu đẹp rồi cầm chắc tay chỉ mỗi tội :k có quai xách  nên cầm đi tới lui rất bất tiện ( lỡ đụng ai hay con nít chạy giỡn thì tui không biết nói sao ).Còn ngoài ra ,tiền nào của nấy.",5.0,,1.0,other,,,,,,,p
"Không bị mùi tráng qua nước nóng là xài ngon ơ, nút mở cũng khá nhạy bấm thích giá cũng ổn. Nhược là hssd không có tiếng việt, đọc bản tiếng anh thấy có kha khá lưu ý. Vở ngoài sờ thích còn bền màu ko chắc chờ thời gian nữa mới biết được",5.0,,0.0,hdsd,,,,,,,p
"Bình ở ngoài siêu đẹp nha mn, màu này nhìn sang. Mình chưa thử xem giữ nhiệt đc lâu không nhưng của LocknLock thì mình rất yên tâm. Có cái nếu bạn nào muốn mua màu trắng thì nên cân nhắc vì sẽ dễ bẩn. Mình thấy có mày hồng và xanh bên ngoài cũng rất đẹp á.",5.0,,0.0,other,,,,,,,p
"Bình bị lỗi nút, mình chưa chuyển sang phần mở mà chỉ cần ấn nhẹ thôi là đã mở nắp, mong tiki hỗ trợ đổi trả, mình hiểu sản phẩm cũng có thể lỗi nên nếu như tiki đổi trả sản phẩm một cách êm đẹp, mình sẵn sàng rate 5 sao và mua bình mới cho người thân, bạn bè!
Edit: Tiki đã đổi lại đúng sản phẩm, sản phẩm mới đổi trả không có vấn đề gì. Dịch vụ của Tiki nhanh và gọn. Bạn tư vấn viên (bạn Toàn) tư vấn nhiệt tình, giải đáp thắc mắc của mình. Toàn bộ quá trình tiếp nhận ý kiến, xem xét lỗi sản phẩm, trả lại cho khách đều nhanh chóng!",5.0,,2.0,BaoHanhDT,,,,,,,p
"Đẹp, tốt, mua được giá khuyến mãi khá rẻ, còn được tặng thêm ly nhựa to",5.0,,0.0,promo,,,,,,,p
"Bình giữ nhiệt chắc chắn, chất lượng, chưa sử dụng nên ko biết giữ nhiệt được bao lâu. Ko định mua màu trắng vì sợ mau thấy dơ, nhưng chưa kịp mua thì đã hết bình màu.",5.0,,0.0,quality,,,,,,,p
"Bị trầy một chỗ bị xước hơi buồn tí Nhưng thôi chắc do đóng gói 
Rất đệp cái màu này. Kiểu tương nó hồng bánh bèo lắm nhưng không nó sẫm sẫm cũng vừa ý
Nhắn tin để hỏi cách vệ sinh trước khi dùng đây!!!",5.0,,0.0,hdsd,,,,,,,p
Hàng được đóng gói cẩn thận. Sản phẩm dẹp như hình giới thiệu. Rất hài longd,5.0,,0.0,other,,,,,,,p
"lần đầu mình nhận bình và bị hở nắp như này -> đã gửi yêu cầu đổi bình mới nhưng lând đầu đợi 6-7 ngày vẫn k ai qua thu hồi. , phải liên hệ lại lần nữa mới có người qua thu hồi , sau khi thu hồi thì giao lại cho mình cái bình này ( hình chụp ) thì chẳng khác gì bình lúc đầu , hở rất to🥺 hậu quả là chẳng thể giữ nhiệt , mình cho cục đá bự bằng 2/3 cái bình vào thì 4 tiếng là tan hết, lần đầu mua. hàng qua mạng mà phải đổi trả🥲 rất tê!",1.0,,5.0,BaoHanhDT,,,,,,,n
"giao nhanh, hàng ko bị trầy xước gì, chưa sử dụng nên ko bt hiệu quả ra sao, sẽ đánh giá sau!",5.0,,0.0,deliver,,,,,,,p
"Tiki gói hàng đẹp cẩn thận, giao hàng nhanh sớm hơn dự kiến, sản phẩm chính hãng chất lượng tốt",5.0,,0.0,quality,,,,,,,p
"Không thể nào diễn tả được quá chất lượng đẹp, giữ nhiệt tốt, để nước đá ở văn phòng làm việc nhiệt độ 26 đến 28 độ đá viên tủ lạnh 7h30 tới 16h30 vẫn còn",5.0,,1.0,other,,,,,,,p
"Ngoại quan đẹp, màu đen nhám không bám vân tay. 
Logo chi tiết sắc sảo. 
Chức năng one-touch mượt mà. Tiki mà update thêm video bên cạnh hình thì mình sẽ up cho mn xem.
Chưa biết giữ nhiệt có như thông tin không nhưng lúc vặn nắp thì cảm giác rất chặt và êm, lực ma sát với ron cao su lớn nhưng không tạo tiếng kít khó chịu.
Trong hộp có kèm hướng dẫn sử dụng tiếng Hàn-Anh-Trung, chịu khó xem để biết cách thức đúng khi dùng và bảo quản sp. Trừ 1 sao vì không có tiếng Việt, làm khách hàng chưa có trải nghiệm tốt với sp.",4.0,,0.0,hdsd,,,,,,,n
"Bình rất đẹp, hiện đại và sang chảnh. Có nút bấm một nhấn tiện lợi. Giao hàng vẫn hơi lâu. 
Cần thêm thời gian sử dụng để biết được hiệu quả giữ nhiệt.",5.0,,0.0,deliver,,,,,,,n
"Ly giao nhanh, mẫu mã và màu sắc đẹp nhưng sau khi qua sử dụng một vài ngày thì thấy ly giữ nhiệt bị tiết nước ra ngoài nắp và vành ly, khá bất tiện làm cho việc giữ nhiệt không mấy tốt",1.0,,0.0,other,,,,,,,p
"Đặt 3giờ chiều hôm qua 8g30 sáng nay nhận luôn 
Giao hàng quá tốc độc
Áp mã xong được giá quá rẻ mà bình thì ngon
Chưa thử độ giữ nhiệt nên chưa biết sao",5.0,,0.0,other,,,,,,,p
"Sản phẩm đóng gói kĩ, hộp đựng sản phẩm cứng cáp và đẹp. Bình có vỏ ngoài nhám nên cầm thích tay và chống thấm nước tốt, dễ lau rửa. Bình có màu đẹp, xứng đáng với giá tiền.",5.0,,3.0,other,,,,,,,p
"Đặt đêm hôm qua chiều hôm nay đã có rồi. Tiki vẫn luôn giao hàng nhanh chóng. Cảm ơn Tiki.
Về ly thì màu rất cưng nha, bên ngoài hơi nhám sần cầm thích tay và ko bị bám vân tay như loại thân mờ cũ. Version mới nhiều màu để chọn, mình nghĩ trắng và xanh Navi cũng sẽ rất đẹp. Chưa đựng nước thử nhưng chắc khả năng giữ nhiệt vẫn sẽ tốt như mẫu cũ nhỉ. Ly đẹp và chắc chắn. ?",5.0,,0.0,other,,,,,,,p
"Hìiii :333 mình vừa nhận được hàng nèee. Cốc xinh lắm nha mng uiiii, màu trắng nhìn sang và xinh lắm ý (mình thì khoái màu đen cơ, nma thấy mng bảo mua màu đen về, bị xước thì sẽ bị bong sơn hehe). Cốc to lắm, to hơn mình nghĩ cơ :3 nhưng mà to như này mới đựng được nhiều nước chứ, đi học không lo khát nước kệkeke :3. Mình cũng có đổ nước vào và lắc thử thì không một giọt nước nào bay ra luôn 🤩. Còn về khả năng giữ nhiệt thì mình cũng chưa dùng nên mình cũng không có rõ :3 hihiii
Kết lại thì cốc xinh, xịn, mịn lắmm 😙 mọi người nên mua nhaaaaa 🥰",5.0,,0.0,other,,,,,,,p
"đầu tiên sp mình mua bị lỗi phần khóa nắp, bên tiki cũng nhiệt tình hỗ trợ đổi trả, xử lý vấn đề cũng khá nhanh, tuy nhiên khi nhận lại sản phẩm không phải là sản phẩm đổi mới mà là sản phẩm cũ đã fix bằng cách gọt bớt chỗ phần nắp đậy để cho khít, cực kỳ thất vọng với cách làm này của tiki, vì mình yêu cầu đổi trả chứ ko phải khắc phục bằng cách này",2.0,,0.0,BaoHanhDT,,,,,,,n
"Ly rất đẹp, rất xịn. Nhưng đái hơi nhỏ, thân hơi cao. Cảm giác sử dụng dễ bị lật( nếu đẩy nhẹ hoặc vô tình chạm). Mong nhà sx cân đối size",4.0,,0.0,other,,,,,,,p
Giữ nhiệt rất ok.Mở nắp chỉ với 1 nút nhấn nau lẹ.,5.0,,0.0,other,,,,,,,p
"hàng ok , nhẹ nhàng , có điều tem mác dán trên bình rất dỏm , tháo ra dính đầy keo , hên nhà có dung dịch tẩy keo chứ ko rất khó chịu",5.0,,0.0,other,,,,,,,n
"Bình màu hồng nhìn cưng xỉu. Bình cầm nặng tay, chất liệu thép không gỉ, giữ lạnh cực tốt. Nhưng có điều miệng bình còn hở nên thấy nước đọng ngay miệng bình.",4.0,,0.0,other,,,,,,,p
"ly của mình mua khi cho đá vô thì bị như vậy , trước mua 2 cái xài rất ok, cái này bị rỉ nước",1.0,,0.0,BaoHanhDT,,,,,,,n
"Bình nước quá xịn xò và sang chảnh 
Kiểu cầm cái bình thấy thích rồi 
Mọi thứ quá hoàn hảo á",5.0,,0.0,other,,,,,,,p
"Sản phẩm đẹp, độ hoàn thiện tốt, mở nắp nhẹ nhàng, kín, về giữ nhiệt thì mình chưa ***! Mình từng mua sản phẩm bằng inox sơn xanh dạng xoáy mở của locknlock nhưng sau 1 thời gian vẫn bị bong sơn nên chuyển qua hàng vỏ nhỏ nhựa này, có lẽ nước sơn sẽ bền hơn, việc lấy nước cũng nhanh hơn dạng xoáy mở!",5.0,,0.0,other,,,,,,,p
"Giữ nhiệt lâu, rất tiện lợi khi sử dụng, sản phẩm chắc chắn, màu sắc nhã nhặn. Nắp kín, có khoá chốt",5.0,,0.0,other,,,,,,,p
"tốt, giữ nhiệt ok. theo mình nó là ly giữ nhiệt chứ k phải bình. nắp giữ nhiệt k có dc tốt vì chỉ là nhựa cứng thui. khác với bình giữ nhiệt. nên ai muốn giữ lâu thì nên mua bình, mình mua vì miệng rộng bỏ đá pha nước ok. 
hên mua trúng sp nắp kín k bị chảy nước nha, mình coa úp ngược thì nước k bị chảy. nhưng úp ngược mà lắc mạnh thì bị rĩ vài giọt chứ k nhìu.",5.0,,0.0,other,,,,,,,p
"Nhìn chất lượng và chắc chắn, đóng gói cẩn thận. 5 sao.",5.0,,0.0,quality,,,,,,,p
màu xuất sắc lắm luôn.ly sịn sò lắm nè.nắp mới chắc chắn...mẫu mới mình đặt 0h kém 25/3..trưa 26/3 nhận hàng..có mã km..mua 2 ly giá chỉ 423k.màu hồng ở ngoài xinh hơn..nên mua nhe mn,5.0,,2.0,deliver,,,,,,,p
"Bình hình thức đẹp. Hiện tại chưa thấy lỗi phải gì. Cái One-touch bản mới này thì mn nhớ là quẹt mở khoá (để chuyển từ trạng thái khoá sang mở) xong phải nhấn vô nữa (này mới tính là touch)  thì nắp mới bật. Đừng *** như mình tưởng chỉ quẹt thôi xong ngồi cả buổi, còn định trả hàng ? Chất lượng LocknLock thì k phải bàn, giữ nhiệt đỉnh và có đế chống trượt, màu sắc sang trọng hợp thời trang",5.0,,7.0,other,,,,,,,p
"xài rất ok giữ nóng đc 6 tiếng
hàn quốc 
không biết nắp xài bền ko
nhưng shipper lại ko cho mở hàng kiểm tra trước nên trừ 1 sao",4.0,,0.0,deliver,,,,,,,n
"Sản phẩm chất lượng tốt, tuy nhiên nhân viên giao hàng rất thiếu tôn trọng, chưa tới nơi nhưng đã gọi bắt khách ra đợi trước trong khi đó khách đang trong giờ làm việc. do đợi lâu chưa thấy người giao hàng nên tôi có đi làm tiếp tục làm việc và nhờ bảo vệ chỗ tôi làm nhận hàng giùm, một lúc sau nhân viên giao hàng tới gọi cho tôi với thái độ khó chịu và tắt ngang máy, rất thiếu tôn trọng. trãi nghiệm giao hàng cực kỳ tệ.",1.0,,2.0,deliver,,,,,,,n
"Chất liệu & màu sắc rất đẹp, bình giữ lạnh rất tốt: đá để từ sáng tới chiều tối vẫn chưa tan. Nút bấm khóa bình không chắc lắm nên bình để nằm ngang khi di chuyển dễ bị đổ,  mình để trong túi treo lên thì không có vấn đề gì, màu hường nhìn siêu xinh luôn",5.0,,1.0,other,,,,,,,p
"- chất liệu vỏ nhám, cầm rất ưng tay
- giữ nhiệt, giữ lạnh tốt",5.0,,0.0,other,,,,,,,p
"Bình đẹp, chất lượng tốt",5.0,,0.0,quality,,,,,,,p
hài lòng với chất lượng và giá của sản phẩm. Mẫu mã ưng ý,5.0,,0.0,quality,,,,,,,p
"mình vừa nhận được bình và khi nhận hàng mở ra thì sản phẩm đã bị gãy phần nắp. Mình không biết liên hệ với shop như thế nào.  Mình mong nhận được sự hỗ trợ bên phía tiki để được đổi lại sản phẩm hoàn thiện ạ. 
Mình xin cảm ơn! :(((",2.0,,1.0,BaoHanhDT,,,,,,,n
"Bình ổn, nhưng vừa mở nắp thì thấy ngay khớp, 1 bên gãy 1 bên cũng ko bình thường.

Sửa: có vẻ là nó là như vậy chứ ko phải bị gãy, do mình đóng nó ko chặt đc, 1 bên bị nhếch nhẹ lên nên mình nghĩ nó gãy....để xài xem sao",2.0,,0.0,other,,,,,,,p
"Bình đẹp, xài rất tốt.",5.0,,0.0,other,,,,,,,p
"Bình đẹp, xài rất tốt.",5.0,,0.0,other,,,,,,,p
"Hàng tốt, đó giờ rất tin dùng LocknLock nên sản phẩm của họ chưa làm mình thất vọng bao giờ. Thân nhám, cầm chắc tay, nút bật nắp chắc chắn nên để mở đc nắp phải ĐẨY VÀ ẤN nhẹ nhá mọi ng. Chứ đẩy qua đẩy lại nó sẽ k ra đâu.",5.0,,0.0,hdsd,,,,,,,p
"Ly mua vào đợt sale nên giá khá hời, rẻ hơn nhiều so với store ngoài mall. Ly gần 500ml, giữ nước đá khá lâu. Mình bỏ đá từ sáng mà tối về vẫn còn 50% đá. Nắp bật có khóa nên k sợ tràn nước bên trong ra ngoài. Nói chung so với mức giá này để mua là quá ổn",5.0,,0.0,promo,,,,,,,p
"mới nhận hàng , lúc trước đã từng sử dụng",5.0,,0.0,other,,,,,,,p
Giao hàng nhanh - đóng gói kỹ - chất lượng tốt,5.0,,0.0,other,,,,,,,p
Hàng đã nhận được nhưng giao hộp cũ quá và lỗi trầy sơn,3.0,,0.0,other,,,,,,,n
"Sản phẩm được đóng gói cẩn thận, không bị lỗi",5.0,,0.0,other,,,,,,,p
"Mình đã từng mua rồi Lock & Lock chất lượng khá oke giữ nhiệt lâu và kín nước, Tiki giao hàng khá nhanh trong ngày là có",5.0,,0.0,deliver,,,,,,,p
"Giao nhanh. Hàng chuẩn. Giá tốt.
Trước đây mình dùng loại my cafe tumbler  rất bền và tốt, chỉ tại con mồn lèo nhà mình làm rơi gãy chốt nắp đậy. Mẫu này màu sắc đẹp và cầm chắc tay, hi vọng dùng dc lâu ko bị bong lớp sơn",5.0,,0.0,other,,,,,,,p
Tốt đẹp giữ nhiệt ok,5.0,,0.0,quality,,,,,,,p
Bình rất đẹp nhaa,5.0,,0.0,other,,,,,,,p
"Tiki ship hàng nhanh, đóng gói cẩn thận, bình chất liệu xịn, chắc chắc. Tuy có hơi sứt tí nhưng chấp nhận đc",5.0,,0.0,other,,,,,,,p
Sản phẩm tốt,5.0,,0.0,quality,,,,,,,p
"Ly đẹp, giữ được nhiệt lâu. Bỏ một ít đá bi hoặc 2 viên đá uống bia nhỏ là để được 7-8h. Ly màu hồng nhạt nhìn hơi cũ nếu màu đậm xíu chắc đẹp hơn. Trừ 1 sao vì không tặng kèm túi đựng ly, làm mất nửa ngày trời mai túi 😂😂",4.0,,0.0,other,,,,,,,p
"Chuẩn, xịn sò, giao nhanh,...",5.0,,0.0,deliver,,,,,,,p
"Nhận hàng sớm hơn dự kiến, chất lượng sử dụng trước mắt là OK, mẫu mã đẹp.",5.0,,0.0,deliver,,,,,,,p
Hàng đẹp. Chất lượng rất tốt,5.0,,0.0,quality,,,,,,,p
"Đẹp, mình xài nhiều sản phẩm Lock n Lock thì đây là 1 trong những sp mình thích nhất, từ thiết kế chất liệu, đóng gói",5.0,,1.0,other,,,,,,,p
"Bị bể nắp, giữ nhiệt ko đc lâu. Yêu cầu bảo hành",1.0,,0.0,BaoHanhDT,,,,,,,n
Màu sắc không tươi như hình mẫu. Thời gian giữ nhiệt chưa biết. Chất liệu an toàn không thể kiểm chứng.,4.0,,0.0,other,,,,,,,n
"Bình chắc chắn và xinh, màu kiểu hồng đất ấy. Giữ lạnh khá ổn 1 cục đá to để qua đêm đến 10 sáng hôm sau vẫn còn cục nhỏ nhỏ.",5.0,,0.0,other,,,,,,,p
"SP quá tuyệt vời, giao hàng siêu tốc. Giữ lạnh và nóng rất OK. Đáng để trải nghiệm",5.0,,0.0,other,,,,,,,p
Gần 300k mà ko có nổi cái túi đựng,3.0,,0.0,promo,,,,,,,n
"Tuyệt vời nếu nắp màn bên trong bảo vệ bằng thép thì ok luôn 5 sao tại nắp bằng nhựa nên 4 sao nhé, nói chung hợp giá tiền  sản phẩm ok giữ lạnh tốt 24h như đã nói trong hướng dẫn, 2 từ khá good!",4.0,,0.0,other,,,,,,,p
"Bình chắc chắn, cầm nặng tay, đáy bình bằng cao su để lên mặt bàn khá êm, hạn chế tiếng động, nắp bình kín ko bị trào nước ra ngoài. 
Mỗi tội phần miệng bình thiết kế chưa ổn, uống ko cẩn thận dễ bị đổ nước ra ngoài miệng",3.0,,0.0,other,,,,,,,p
"chất liệu thép thì tôi không biết nhưng nhựa ở nắp là polypropyl, không tốt được như HDPE trong gi đông quân đội nhưng cũng không quá tệ như các loại nhựa PS, nói chung là đủ dùng, không bị ảnh hưởng tới sức khoẻ",5.0,,0.0,quality,,,,,,,n
"Mẫu này thì có nút bật nên rất tiện lợi, không cần dùng ống hút. Màu sắc thì quá bắt mắt. Đặc biệt bên trong rất đẹp, nhìn dáng thon gọn và material rất hài lòng. Lại còn đang được giảm giá nữa.",5.0,,2.0,promo,,,,,,,p
"Mua bình đợt sale 50% + coupon giảm 100k Yêu bếp nghiện nhà nên giá lúc về tay là 159k á mọi người (chắc không ai mua rẻ được như mình đâu ?). Giữ nóng thì mình chưa thử nhưng giữ lạnh thấy ok lắm luôn. Mình có thử đổ nước vào bình rồi dốc ngược nhưng nước không bị rỉ nhé, còn nếu bạn để đá lạnh đầy bình thì nó sẽ bị đổ mồ hôi chút xíu (này là hiện tượng thoát hơi nước bình thường nha) các bạn nếu để trong balo sợ ướt thì bỏ đá cách miệng bình 3cm là ok. Bình vỏ nhám nên không sợ bẩn và bám vân tay, bạn nào thích màu trắng thì mạnh dạn đặt nha, mình nghĩ màu trắng nhìn sang chảnh lắm luôn",5.0,,2.0,other,,,,,,,p
"Tiki giao hàng nhanh, đóng gói cẩn thận, bình thiết kế đơn giản, đẹp. Có nút mở rất tiện và nắp kín nên khi bị dốc ngược nước ko trào ra. Sản phẩm này nên mua!",5.0,,1.0,other,,,,,,,p
"bình màu trắng nhìn ko đẹp và ko sang bằng các mầu khác nhưng cũng ok.
có cái chốt nên cảm giác chắc chắn",5.0,,0.0,other,,,,,,,p
"Sản phẩm giao nhanh, dùng chắc chắn, giữ nhiệt tốt, có nút khoá mở nắp là điểm cộng
Điểm trừ nhỏ là phần nắp có góc cạnh nên vệ sinh khó sau khi uống nước hoa quả hay bị đọng cặn",5.0,,0.0,other,,,,,,,p
"Mẫu mã rất đẹp và chắc chắn.cầm rất sướng tay,tuy nhiên bình vẫn toả nhiệt ở cổ nắp,và để đá ko giữ dc lâu.nói chung dùng vẫn ok.dù giao hàng chậm và có chút nhược điểm vẫn cho shop 5*",5.0,,0.0,deliver,,,,,,,p
