id,sentence,topic,sentiment
3,nhận lại là sự chăm sóc khách hàng không có tâm trong khi là 1 shop có uy tín,cskh,tieu_cuc
3,nếu sản phẩm đã không tốt sẵn thì tại sao không thẩm định trước khi bán??,san_pham,tieu_cuc
3,Thôi coi như là 1 bài học,trai_nghiem,tieu_cuc
3,mong shop sẽ có khắc phục chứ như vầy rất thất vọng về sản phẩm,trai_nghiem,tieu_cuc
4,Tiki giao hàng nhanh,giao_hang,tich_cuc
4,đóng gói cẩn thận.,dong_goi,tich_cuc
4,Về thương hiệu LocknLock,trai_nghiem,tich_cuc
4,mình đã sử dụng nhiều,trai_nghiem,tich_cuc
4,thương hiệu khá uy tín về chất lượng,san_pham,tich_cuc
4,mẫu mã.,mo_ta,trung_lap
4,Riêng sản phẩm này thì thiết kế vừa tay,san_pham,tich_cuc
4,chắc,san_pham,tich_cuc
4,mang phong cách tối giản,san_pham,tich_cuc
4,đẹp,mo_ta,tich_cuc
4,hữu dụng.,san_pham,tich_cuc
4,Mọi người luôn ủng hộ sản phẩm của LocknLock nhé 👌👌👌,trai_nghiem,tich_cuc
5,Mình mua 2 bình,trai_nghiem,trung_lap
5,bình đẹp,mo_ta,tich_cuc
5,dễ dùng,san_pham,tich_cuc
5,khuyên các bác nên mua thêm ống hút vì những lúc lái xe ko thể ngửa cổ lên tu được,trai_nghiem,trung_lap
5,nắp bật chắc chắn,san_pham,tich_cuc
5,rơi cái là gẫy.,san_pham,tieu_cuc
5,Vẫn tặng shop 5* vì mình thích sản phẩm này,trai_nghiem,tich_cuc
6,Tuyệt vời,trai_nghiem,tich_cuc
6,sản phẩm này đáp ứng đúng 99,trai_nghiem,tich_cuc
6,9% kỳ vọng về chất lượng của mình.,trai_nghiem,trung_lap
6,Nhưng có một điều nhỏ là khi nhận được hàng thì có vẻ bình đã được nhân viên lắp giúp giăng cao su rồi,dong_goi,trung_lap
6,chắc không sao.,trai_nghiem,trung_lap
6,Về hình minh họa thì các bạn hoàn toàn có thể xem các comment khác nha,mo_ta,trung_lap
6,y như vậy đó.,mo_ta,tich_cuc
6,Đề nghị các bạn đều phải sắm bình giữ nhiệt nha.,trai_nghiem,tich_cuc
7,Tiki giao hàng siêu nhanh.,giao_hang,tich_cuc
7,Tối khuya đặt hàng,trai_nghiem,trung_lap
7,chiều hôm sau đã nhận được.,giao_hang,tich_cuc
7,Đúng mẫu,mo_ta,tich_cuc
7,đúng màu.,mo_ta,tich_cuc
7,Tuy nhiên phần nắm gài ko đc chắc chắn,san_pham,tieu_cuc
7,phải ấn mạnh tay mới vào,trai_nghiem,tieu_cuc
7,rất nhạy,san_pham,tich_cuc
7,đụng nhẹ nút thôi là bung nắp bật ra rồi.,trai_nghiem,tich_cuc
7,Không biết các bình khác có bị trải nghiệm tương tự ko?,trai_nghiem,tieu_cuc
7,Mình đã mua 1 bình thế này từ Katinat,trai_nghiem,trung_lap
7,rất chắc chắn,san_pham,tich_cuc
7,êm tay.,san_pham,tich_cuc
8,Giao hàng quá nhanh,giao_hang,tich_cuc
8,đóng gói chắc chắn.,dong_goi,tich_cuc
8,Ly đẹp,san_pham,tich_cuc
8,nhẹ,san_pham,tich_cuc
8,chất lượng dù chưa dùng thử,san_pham,trung_lap
8,của LocknLock thì tin tưởng.,trai_nghiem,tich_cuc
9,tầm vài năm trước mình cũng đã mua một ly giữ nhiệt của l&l,trai_nghiem,trung_lap
9,bị mất nên nay mua lại.,trai_nghiem,trung_lap
9,mình không nhớ tên ly cũ,trai_nghiem,trung_lap
9,phần nắp của ly này cải tiến rõ rệt so với cái cũ mình đã dùng đặc biệt là tính năng nhấn để mở rất tiện.,san_pham,tich_cuc
9,mình sử dụng tầm lần thứ 3 là đã hoàn toàn không thấy mùi nhựa nữa,trai_nghiem,tich_cuc
9,sờ vào nắp ly cũng không có cảm giác nhựa kém chất lượng.,san_pham,tich_cuc
9,chỉ có điều không hiểu sao phần nắp ly hơi bị vênh như hình :((,san_pham,tieu_cuc
10,Giao hàng ko có ống hút,giao_hang,tieu_cuc
10,h tổng đài cskh báo số lượng có hạn,cskh,trung_lap
10,"khi đặt thông tin thì vẫn sáng ko bị ẩn ; 
Khi nhận ko thấy quà tặng",trai_nghiem,tieu_cuc
11,Bình đẹp lắm nha mn,san_pham,tich_cuc
11,chưa dùng nên ko đánh giá đc độ giữ nhiệt,san_pham,trung_lap
11,bình cầm rất ổn,san_pham,trung_lap
11,chắc tay.,san_pham,tich_cuc
11,Mình có gói TikiNow nên đặt buổi tối là 8h30 sáng hôm sau nhận hàng luôn,giao_hang,tich_cuc
11,chưa bao giờ mua hàng online,trai_nghiem,trung_lap
